eventID,videoID,timed_url,time,img_file,text_file,notes,code_text,coords
3,2,https://www.youtube.com/watch?t=61&v=i824zN0DGIo,61,screencapture-localhost-9000-2022-07-19-10_01_19,,goal: I'm going to make a chat app using sockets with Flask for the server and custom HTML/JS for the front end,,
4,2,https://www.youtube.com/watch?t=205&v=i824zN0DGIo,205,screencapture-localhost-9000-2022-07-19-10_25_21,,"goal: I want the app to have a screen where you enter your name, and then puts you in a random chat room","Cm Youtube C3
",433;287;1466;787
5,2,https://www.youtube.com/watch?t=345&v=i824zN0DGIo,345,screencapture-localhost-9000-2022-07-19-10_27_19,,"goal: I'm going to start by programming the chat server, I want to make a good interface for communicating",,1168;313;731;761
6,2,https://www.youtube.com/watch?t=390&v=i824zN0DGIo,390,screencapture-localhost-9000-2022-07-19-10_30_06,,other: he just pulled up some reference code from the internet for creating the socket architecture for the chat app,none,150;150;935;724
7,2,https://www.youtube.com/watch?t=466&v=i824zN0DGIo,466,screencapture-localhost-9000-2022-07-19-10_31_34,,"goal: This will be a multi threaded application, meaning there will be threads so that things don't hang",none,150;150;935;724
8,2,https://www.youtube.com/watch?t=562&v=i824zN0DGIo,562,screencapture-localhost-9000-2022-07-19-10_32_43,,"code: server.py;
adding in the boilerplate architecture for the chat room","from socket import AF_INET, socket, SOCK_STREAM
from threading import Thread

HOST = 'localhost'
POST = 5500
BUFSIZ = 1024
ADDR = (HOST, PORT)

SERVER = socket(AF_INET, SOCK_STREAM)
SERVER.bind(ADDR)

if __name__ == ""__main__"":
  SERVER.listen(5)
  print('Waiting for connection...')
  ACCEPT_THREAD = Thread(target=wait_for_connection)
  ACCEPT_THREAD.start()
  ACCEPT_THREAD.join()
  server.close()",150;150;484;617
9,2,https://www.youtube.com/watch?t=635&v=i824zN0DGIo,635,screencapture-localhost-9000-2022-07-19-10_34_07,,search: python thread start new thread,not code,274;314;338;299
10,2,https://www.youtube.com/watch?t=630&v=i824zN0DGIo,630,screencapture-localhost-9000-2022-07-19-10_34_46,,"visit: python docs;
16.3 thread - multiple threads of control",not a code,274;318;347;299
11,2,https://www.youtube.com/watch?t=691&v=i824zN0DGIo,691,screencapture-localhost-9000-2022-07-19-10_35_22,,"code: server.py; 
added a function (wait_for_connection()) that loops infinitely to wait for a connection from the client","from socket import AF_INET, socket, SOCK_STREAM
from threading import Thread

def client_communication(client):

def wait_for_connection(SERVER):
  run = True
  while run:
    client, addr = SERVER.accept()
    Thread(target=client_communication, args=(client,).start())

HOST = 'localhost'
PORT = 5500
BUFSIZ = 1024
ADDR = (HOST, PORT)

SERVER = socket(AF_INET, SOCK_STREAM)",270;316;353;305
12,2,https://www.youtube.com/watch?t=691&v=i824zN0DGIo,691,screencapture-localhost-9000-2022-07-19-10_35_34,,"goal: I'm going to create some client objects, each client objects will store a name and an IP address",,
13,2,https://www.youtube.com/watch?t=1298&v=i824zN0DGIo,1298,screencapture-localhost-9000-2022-07-19-10_42_34,,"code: person.py;
created a class called Person(), has fields for ip address, name, and client along with a __repr__() method","class Person:
  def __init__(self, addr, name, client):
    self.addr = addr
    self.name = name
    self.client = client
  def __repr__(self):
    return f""Person({self.addr}, {self.name})""",267;316;357;415
14,2,https://www.youtube.com/watch?t=1632&v=i824zN0DGIo,1632,screencapture-localhost-9000-2022-07-19-10_46_44,,"code: server.py; 
worked on client_communication() function that handles all messages from client, also created a global list to store all Person instances","client = person.client
addr = person.addr

# get persons name
name = client.recv(BUFSIZ).decode(""utf8"")
msg = f""{name} has joined the chat!""
broadcast(msg)

while True:
  msg = client.recv(BUFSIZ)
  if msg == bytes(""[quit]"", ""utf8""):
    client.send(bytes(""[quit]"", ""utf8""))
    client.close()
    persons.remove(person)
  else:",274;322;336;284
15,2,https://www.youtube.com/watch?t=1754&v=i824zN0DGIo,1754,screencapture-localhost-9000-2022-07-19-10_48_04,,"code: server.py;
worked on broadcast() function that broadcasts valid new messages to all clients","def broadcast(msg, name):
  for person in persons:
    client = person.client
    client.send(bytes(name + ""! "", ""utf8"") + msg)",265;404;332;158
16,2,https://www.youtube.com/watch?t=1917&v=i824zN0DGIo,1917,screencapture-localhost-9000-2022-07-19-10_49_53,,"code: server.py;
added more to client_communication(), now sends message when person disconnects and added try catch block","client = person.client

name = client.recv(BUFSIZ).decode(""utf8"")
msg = f""{name} has joined the chat!""
broadcast(msg)

while True:
  try:
    msg = client.recv(BUFSIZ)
    if msg == bytes(""[quit]"", ""utf8"")):
      broadcast(f""{name} has left the chat..."")
      client.send(bytes(""[quit]"", ""utf8""))
      client.close()
      person.remove(person)
    else:
      broadcast(msg, name)
  except Exception as e:
    print('[EXCEPTION]', e)",289;373;353;284
